"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tcas005506",1178.40704926521,2.73657010755874,0.180039253015706,15.1998525972557,3.54417634703152e-52,3.8783921765566e-48
"Tcas011920",1819.61133404094,2.02127973051227,0.152912051914393,13.2185769872729,6.85485367747466e-40,3.75063318963026e-36
"Tcas005135",255.803015055262,0.935635470573279,0.0722227604199074,12.9548561303035,2.2054919226748e-38,8.04489936994346e-35
"Tcas006834",352.294903478946,2.23635979286454,0.184302328725845,12.1341917290214,6.95937766532842e-34,1.90391174479222e-30
"Tcas011916",59.0345685657437,3.34432099822684,0.280310874636331,11.930757244312,8.18257442891816e-33,1.79083823951303e-29
"Tcas008044",159.212521709523,2.70359003006212,0.250006587960138,10.8140751494644,2.95255646231931e-27,5.38497089452671e-24
"Tcas002348",3571.7966803393,1.73436599890187,0.161180009880118,10.7604286672513,5.29234077269403e-27,8.2734407250844e-24
"Tcas003464",799.949918119362,0.988210555254961,0.0919906462240491,10.7425112858552,6.42719156021237e-27,8.79159465542549e-24
"Tcas011980",196.75376411448,1.61544427045727,0.150888137316423,10.706237741338,9.51504932266556e-27,1.15692427486588e-23
"Tcas003336",267.243066747054,1.942987201159,0.195870009695698,9.91977896043201,3.41511629027955e-23,3.73716175645291e-20
"Tcas000125",149.456992198358,3.25613450889735,0.33783897485102,9.63812570865524,5.51863657420664e-22,5.49004000286757e-19
"Tcas008231",336.243937461127,1.94769954893325,0.203614732543552,9.56561209791952,1.11539477161466e-21,1.01714708214826e-18
"Tcas007752",561.058536796025,3.14831585514842,0.33052130244324,9.52530391195913,1.64559707510528e-21,1.38521298406746e-18
"Tcas004737",984.186111757848,0.840727935030349,0.0896887709656684,9.37383717023135,6.99424579247272e-21,5.46700226478778e-18
"Tcas011863",2406.23329871096,1.0728186161727,0.11547724450048,9.29030321786253,1.53849405697964e-20,1.12238269770188e-17
"Tcas000381",60.6690176115787,4.9976714889846,0.552026066061385,9.05332518922912,1.38679542998201e-19,9.0567922290565e-17
"Tcas005588",298.993531178602,0.640979490880555,0.0708127855236149,9.05174801613754,1.40697676956923e-19,9.0567922290565e-17
"Tcas000613",253.021982069758,0.896809999056849,0.0997219529546036,8.99310505345903,2.4034233520065e-19,1.4611478745004e-16
"Tcas005999",495.112018669051,0.802043475967464,0.0893472096191894,8.97670424611902,2.78998586650957e-19,1.60688501774812e-16
"Tcas007215",160.709706897736,3.15129292810165,0.352750873531851,8.93348015427977,4.12813418861404e-19,2.25870862130017e-16
"Tcas007426",284.411581202377,1.34772436740332,0.15319568770931,8.79740407550269,1.40017401368915e-18,7.29624011038114e-16
"Tcas007037",661.559965005988,0.970342647946902,0.111680004283946,8.6885978754067,3.66940004561957e-18,1.82519294087341e-15
"Tcas002492",42.9322061716428,2.20304127170684,0.258886061888936,8.50969440236596,1.74392372817785e-17,8.29728580758703e-15
"Tcas004939",441.938157097283,1.45409727312877,0.177342017666093,8.19939511383371,2.41599611733841e-16,1.10159356300143e-13
"Tcas002138",1423.7449154237,0.773863762972071,0.0980284430929538,7.89427780912798,2.9200109447628e-15,1.27814719074157e-12
"Tcas011558",5342.50055593974,1.24880293608504,0.159544634385301,7.82729510708068,4.98478083496448e-15,2.09801756450063e-12
"Tcas004264",296.507874703311,1.35709158365702,0.174681878291629,7.76893171134426,7.91508231897769e-15,3.20795354876196e-12
"Tcas004041",318.556005334336,2.74786051708698,0.365230905349736,7.52362540200617,5.32778506628069e-14,2.08221257072534e-11
"Tcas007649",137.774697550126,2.02382224058986,0.270315220590644,7.48689709801679,7.05209489320618e-14,2.66107153159846e-11
"Tcas012300",153.477184925067,2.54245927652434,0.340003876656027,7.47773614092194,7.5613819782151e-14,2.75814009958693e-11
"Tcas004278",8890.21252937925,3.95937578138014,0.542156278379689,7.303015641935,2.81388455041465e-13,9.92767323119861e-11
"Tcas009707",631.966603453377,1.83539926982592,0.251465317039575,7.29881675705232,2.90309369823956e-13,9.92767323119861e-11
"Tcas012355",390.804865409002,0.63320182754693,0.0868156259023432,7.29363891540911,3.01693338310412e-13,1.00043339428207e-10
"Tcas009262",974.046753767831,0.800692485283939,0.112120174861992,7.1413774217665,9.24002538240873e-13,2.97392934587349e-10
"Tcas003282",405.673260347841,3.27279922334861,0.460820311622973,7.10211581564637,1.22861199868514e-12,3.84134317188898e-10
"Tcas000245",591.576202858762,0.974442046949316,0.139178903467996,7.00136315683353,2.53483942405038e-12,7.70520772705091e-10
"Tcas006300",644.941153330233,0.941379709867936,0.134626241413388,6.99254246411963,2.69948766393375e-12,7.98391716389919e-10
"Tcas003545",515.179352080945,0.806817962234502,0.115621315872809,6.97810742027928,2.99182876058169e-12,8.61567950711722e-10
"Tcas004460",2061.8515159143,0.380899032367895,0.0547310467905319,6.9594691624606,3.41557268898067e-12,9.34415298387887e-10
"Tcas012119",502.315982601178,2.35490615961945,0.33822027085007,6.96264051146527,3.33953231167528e-12,9.34415298387887e-10
"Tcas001054",202.687330748613,0.871826371018466,0.125523326127735,6.94553273812454,3.77034774776682e-12,1.00631500984908e-09
"Tcas008838",393.345886735117,0.438231172589895,0.0645848003617792,6.78536079905942,1.15796753844894e-11,3.01705685077304e-09
"Tcas000658",166.112198080342,-0.983229905123254,0.145339179117381,-6.76507127048764,1.33243591696252e-11,3.39089447426068e-09
"Tcas003260",2188.32579251495,1.44335414289721,0.214109986388475,6.74118086336447,1.57104494304564e-11,3.90726018448828e-09
"Tcas004296",188.278618036693,2.42519365473073,0.361584202370974,6.70713388148126,1.98484147527636e-11,4.8266933919887e-09
"Tcas001710",176.05297803031,0.622800079696335,0.0938566406452814,6.63565279360599,3.23069509770258e-11,7.62255035538572e-09
"Tcas011155",1023.14878939718,0.738409241299679,0.111311916729903,6.63369442367451,3.27387249111879e-11,7.62255035538572e-09
"Tcas007348",600.036642073969,0.457146807235014,0.0692628127078768,6.60017676676053,4.10667829880971e-11,9.36237096330723e-09
"Tcas011443",230.347854363324,0.715226577263355,0.108825191628188,6.57225194426489,4.95599096004425e-11,1.10680426685233e-08
"Tcas006459",286.451083314234,2.01322782741163,0.307492625893999,6.54723937381717,5.8610380681351e-11,1.28274679159205e-08
"Tcas000260",768.208628813978,0.989670018642966,0.151383540514203,6.53750080941008,6.25553065972743e-11,1.34224062763524e-08
"Tcas009776",4310.95485619077,1.44480600571874,0.22318852449476,6.47347801142288,9.57723568460567e-11,2.01545557878153e-08
"Tcas003028",343.643295005519,0.544052973143403,0.0843938639613327,6.44659395371061,1.14391714711524e-10,2.36186515865699e-08
"Tcas001445",1014.88141793025,3.77308400597916,0.590623450801637,6.38830713690432,1.67732193622865e-10,3.39906184225001e-08
"Tcas000564",104.110872307358,-4.89478269377469,0.766591074527795,-6.38512872953781,1.71253346637554e-10,3.407318858645e-08
"Tcas005092",1062.73071727136,1.17655981790913,0.184949991696024,6.36150241002915,1.99789773790546e-10,3.90410624033919e-08
"Tcas000114",915.489496721609,0.768783643193847,0.120922114615269,6.35767614253063,2.04828737505496e-10,3.93235241144324e-08
"Tcas002618",297.297498383729,0.507780188120914,0.080614894726666,6.29883832066767,2.99884584127491e-10,5.65799483466747e-08
"Tcas008684",222.560969791379,1.15275682453937,0.183439103051907,6.28413901595004,3.29675609211746e-10,6.11464439254938e-08
"Tcas007433",474.435052977463,1.71200118956691,0.274117505958331,6.24550111668957,4.22443515784225e-10,7.70466565537796e-08
"Tcas007810",153.080031429402,0.72780185594321,0.118326431792867,6.15079695141357,7.70945672696899e-10,1.38302598300363e-07
"Tcas009663",221.393315660957,0.848035743490584,0.138324262549009,6.13078087577094,8.74487814225486e-10,1.54347099210798e-07
"Tcas005749",110.056799652855,1.21754081221757,0.199622808854473,6.09920689526601,1.0659602626878e-09,1.85155605628454e-07
"Tcas004167",205.583608443492,0.54889794754043,0.0900672647472921,6.09431128035819,1.09909608045378e-09,1.87928256381339e-07
"Tcas007784",1899.57392399199,0.461207750457469,0.0764824272431424,6.03024468602782,1.63711617402306e-09,2.71438822611127e-07
"Tcas008050",217.65976448431,0.537575980425351,0.0891222998190425,6.03189080080818,1.62052273715124e-09,2.71438822611127e-07
"Tcas000748",288.305505232966,0.694234834409661,0.115315949617068,6.02028458955608,1.74110674035442e-09,2.84372105368633e-07
"Tcas012168",2832.67800602495,1.01574310008895,0.172142039762744,5.90061034183692,3.62159314619434e-09,5.82810202923597e-07
"Tcas004755",988.666265083267,0.788628794730349,0.134862565844441,5.847647861305,4.98572600836689e-09,7.7941142442227e-07
"Tcas008924",352.243521035055,3.53547955264675,0.60436459816791,5.84991173103838,4.91833951220578e-09,7.7941142442227e-07
"Tcas008398",659.469744996749,0.365274814226798,0.0629200920703151,5.80537634653478,6.42215862388674e-09,9.8982650452384e-07
"Tcas008216",210.93409867924,1.25892230827576,0.217438251927051,5.78979226110646,7.04735313452257e-09,1.07109979654278e-06
"Tcas009202",897.279758610031,0.79855559079158,0.138536259344668,5.76423525919546,8.2028927226652e-09,1.22964732964555e-06
"Tcas011095",11647.7257972474,1.60232899688978,0.278366518863494,5.75618434081699,8.60364324340077e-09,1.2722928109802e-06
"Tcas005259",12964.7149131884,3.29063538694458,0.574830750505438,5.72452914888631,1.03720999184881e-08,1.5133585254402e-06
"Tcas003021",353.072624140937,0.660693110218754,0.116025109968299,5.69439762133621,1.23808248912455e-08,1.78267587874868e-06
"Tcas001505",1328.5323360001,0.853950222133124,0.150245934261585,5.68368273211545,1.31824730000946e-08,1.87345197454591e-06
"Tcas005087",3754.05724320559,1.05225081597863,0.185691412405596,5.66666386100968,1.45604584559842e-08,2.04275765235685e-06
"Tcas001272",137.342152691749,-1.07545370639833,0.190291330325207,-5.6516169420876,1.58945493479189e-08,2.20169687992755e-06
"Tcas004625",831.59709384935,0.438489341369745,0.0776494002172712,5.64704093196864,1.63232977207119e-08,2.23282308697189e-06
"Tcas000909",121.634465982253,3.30377205601253,0.5876217348807,5.62227681500458,1.88456960865309e-08,2.54603027499886e-06
"Tcas009006",396.944619822545,0.866856192828145,0.154609101887106,5.60676041867906,2.06148705245446e-08,2.75107961158648e-06
"Tcas010412",3235.03164002294,2.35073500509505,0.421690790456924,5.57454670173828,2.48175224245181e-08,3.27202587821086e-06
"Tcas008244",197.870411390394,-1.18681491793578,0.213013180288077,-5.57155625924532,2.52473807376125e-08,3.28907246918683e-06
"Tcas010280",582.200732567721,0.476859148086828,0.085987902597717,5.54565390805902,2.92857596774957e-08,3.77028315471571e-06
"Tcas011487",2089.98219449386,1.08691133184484,0.197305903452486,5.50876234732927,3.61365376634772e-08,4.59816432152827e-06
"Tcas011939",813.129302448453,1.49220380040734,0.271252810270449,5.50115517298996,3.77310950261551e-08,4.74587784909443e-06
"Tcas009042",1876.84934396623,0.815458754834377,0.148564772714142,5.48891059392273,4.04420248967911e-08,5.02905770960892e-06
"Tcas009523",1434.40778848116,1.6152379340445,0.29582809250226,5.46005594121242,4.75984580606602e-08,5.85247108491915e-06
"Tcas008385",2293.53070908213,1.86115354020378,0.34113908849225,5.45570297566782,4.87794741845092e-08,5.93104206667871e-06
"Tcas007985",1006.73471453101,0.84344912148598,0.154788311799096,5.44904916710194,5.06398140526947e-08,6.08957676020481e-06
"Tcas008535",2530.51317260368,0.270794981973971,0.0498742052259089,5.42955984456064,5.64932075016143e-08,6.71962140967572e-06
